Indicator,Group,2014 Value,2024 Value
Current tobacco use,Overall,19.1,16.1
Current tobacco use,Male,31.8,25.8
Current tobacco use,Female,5.8,5.9
Current tobacco smoking,Overall,12.4,9.8
Current tobacco smoking,Male,22.2,15.8
Current tobacco smoking,Female,2.1,3.3
Avg cigarettes/day (daily smokers),Overall,13.6,11.8
SHS exposure: Home,Overall,48.3,28.8
SHS exposure: Workplace,Overall,69.1,35.9
SHS exposure: Government buildings,Overall,64.6,40.7
SHS exposure: Private buildings,Overall,77.3,54.8
SHS exposure: Healthcare facilities,Overall,37.6,24.5
SHS exposure: Restaurants,Overall,86.0,55.2
SHS exposure: Marriage halls,Overall,65.7,50.3
SHS exposure: Public transportation,Overall,76.2,45.4
SHS exposure: Universities,Overall,44.2,33.3
SHS exposure: Schools,Overall,25.1,11.5
Quit attempt (past 12 months),Overall,24.7,24.1
Advised to quit by healthcare provider,Overall,51.8,49.9
Noticed health warnings on packages,Overall,77.5,58.1
Considered quitting due to warnings,Overall,29.7,20.2
Noticed tobacco ads/promos in stores,Overall,20.4,17.8
Noticed any tobacco ads/promos/sponsorships,Overall,38.6,30.5
"Avg cost of 20 manufactured cigarettes (PKR, inflation-adj.)",Overall,120.6,236.3
"Avg monthly cigarette expenditure (PKR, inflation-adj.)",Overall,2263.7,3852.9
