Category,Indicator,Overall (%),Men (%),Women (%)
Tobacco Use,Current tobacco users (any),16.1,25.8,5.9
Tobacco Use,Current tobacco smokers,9.8,15.8,3.3
Tobacco Use,Daily tobacco smokers,8.5,14.3,2.4
Tobacco Use,Current cigarette smokers,7.2,12.9,1.0
Tobacco Use,Daily cigarette smokers,6.0,11.2,0.5
Tobacco Use,Current waterpipe (hookah/shisha) smokers,2.6,2.7,2.4
Tobacco Use,Current smokeless tobacco users,7.3,11.3,2.9
Tobacco Use,Ever heard of heated tobacco products,6.9,8.2,5.5
Tobacco Use,Ever heard of e-cigarettes/vaping devices,20.5,27.2,13.5
Cessation,Smokers who made a quit attempt (past 12 months),24.1,24.7,21.1
Cessation,Smokers planning/thinking about quitting,39.0,40.8,29.5
Cessation,Smokers advised to quit by healthcare provider,49.9,50.9,43.9
Secondhand Smoke,Exposed to smoke at workplace,35.9,39.6,25.2
Secondhand Smoke,Exposed to smoke at home (>=monthly),28.8,27.5,30.3
Secondhand Smoke,Exposed to smoke in restaurants,55.2,60.5,29.2
Secondhand Smoke,Exposed to smoke on public transportation,45.4,41.4,52.5
Secondhand Smoke,Exposed to smoke at healthcare facilities,24.5,24.0,25.1
Secondhand Smoke,Exposed to smoke at government buildings,40.7,45.0,26.9
Secondhand Smoke,Exposed to smoke at colleges/universities,33.3,40.6,14.9
Secondhand Smoke,Exposed to smoke at schools,11.5,14.1,7.3
Media,Noticed anti-cigarette info on TV/radio,15.0,,
Media,Noticed tobacco advertising on the internet,7.2,,
Media,Noticed tobacco ads/promos in stores,17.8,,
Media,Noticed any tobacco ads/promotions/sponsorships,30.5,,
Knowledge/Attitudes,Believe smoking causes serious illness,88.6,,
Knowledge/Attitudes,Believe smoking causes stroke/heart attack/lung cancer,58.3,,
Knowledge/Attitudes,Believe smokeless tobacco causes serious illness,85.6,,
Knowledge/Attitudes,Believe secondhand smoke causes illness in non-smokers,87.1,,
Economics,Favor increasing taxes on tobacco products (%),81.1,,
