Survey Question,Answer Option,Unweighted Frequency,Weighted Percent
How old are you?,11 years old or younger,295,3.0
How old are you?,12 years old,991,13.4
How old are you?,13 years old,2136,27.3
How old are you?,14 years old,2017,22.5
How old are you?,15 years old,1679,18.2
How old are you?,16 years old,1083,11.1
How old are you?,17 years old or older,475,4.5
What is your sex?,Male,3987,60.5
What is your sex?,Female,4661,39.5
In what grade/form are you?,7th,2554,30.9
In what grade/form are you?,8th,2270,27.6
In what grade/form are you?,9th,2165,25.2
In what grade/form are you?,10th,1695,16.4
"During an average week, how much money do you have that you can spend on yourself, however you want? (in PKR)",I usually don't have any money,1690,20.5
"During an average week, how much money do you have that you can spend on yourself, however you want? (in PKR)",Less than 100,4513,54.8
"During an average week, how much money do you have that you can spend on yourself, however you want? (in PKR)",101-150,1048,11.6
"During an average week, how much money do you have that you can spend on yourself, however you want? (in PKR)",151-200,461,4.2
"During an average week, how much money do you have that you can spend on yourself, however you want? (in PKR)",201-250,178,1.9
"During an average week, how much money do you have that you can spend on yourself, however you want? (in PKR)",251-300,155,1.4
"During an average week, how much money do you have that you can spend on yourself, however you want? (in PKR)",Over 300,551,5.7
What level of education did your father (stepfather) complete?,Illiterate,2131,25.5
What level of education did your father (stepfather) complete?,Middle,1601,21.2
What level of education did your father (stepfather) complete?,Matric,2231,26.0
What level of education did your father (stepfather) complete?,Intermediate,441,4.4
What level of education did your father (stepfather) complete?,Graduation,587,6.6
What level of education did your father (stepfather) complete?,Post graduation,522,4.0
What level of education did your father (stepfather) complete?,Don't know,1101,12.5
What level of education did your mother (stepmother) complete?,Illiterate,3710,42.1
What level of education did your mother (stepmother) complete?,Middle,1488,18.3
What level of education did your mother (stepmother) complete?,Matric,1289,15.1
What level of education did your mother (stepmother) complete?,Intermediate,277,3.2
What level of education did your mother (stepmother) complete?,Graduation,350,4.1
What level of education did your mother (stepmother) complete?,Post graduation,280,3.0
What level of education did your mother (stepmother) complete?,Don't know,1167,14.2
"Have you ever tried or experimented with cigarette smoking, even one or two puffs? Original Analysis Unweighted Unweighted",Yes,1056,12.8
"Have you ever tried or experimented with cigarette smoking, even one or two puffs? Original Analysis Unweighted Unweighted",No,7092,87.2
How old were you when you first tried a cigarette?,I have never tried smoking a cigarette,7589,92.1
How old were you when you first tried a cigarette?,7 years old or younger,199,2.1
How old were you when you first tried a cigarette?,8 or 9 years old,73,0.9
How old were you when you first tried a cigarette?,10 or 11 years old,91,1.0
How old were you when you first tried a cigarette?,12 or 13 years old,142,2.1
How old were you when you first tried a cigarette?,14 or 15 years old,146,1.3
How old were you when you first tried a cigarette?,16 years old or older,57,0.4
"During the past 30 days, on how many days did you smoke cigarettes?",0 days,7808,97.0
"During the past 30 days, on how many days did you smoke cigarettes?",1 or 2 days,120,1.5
"During the past 30 days, on how many days did you smoke cigarettes?",3 to 5 days,43,0.5
"During the past 30 days, on how many days did you smoke cigarettes?",6 to 9 days,25,0.5
"During the past 30 days, on how many days did you smoke cigarettes?",10 to 19 days,11,0.2
"During the past 30 days, on how many days did you smoke cigarettes?",20 to 29 days,8,0.1
"During the past 30 days, on how many days did you smoke cigarettes?",All 30 days,26,0.3
Please think about the days you smoked cigarettes during the past 30 days. How many cigarettes did you usually smoke per day?,I did not smoke cigarettes during the past 30 days,7860,95.7
Please think about the days you smoked cigarettes during the past 30 days. How many cigarettes did you usually smoke per day?,Less than 1 cigarette per day,195,2.5
Please think about the days you smoked cigarettes during the past 30 days. How many cigarettes did you usually smoke per day?,1 cigarette per day,54,0.6
Please think about the days you smoked cigarettes during the past 30 days. How many cigarettes did you usually smoke per day?,2 to 5 cigarettes per day,42,0.5
Please think about the days you smoked cigarettes during the past 30 days. How many cigarettes did you usually smoke per day?,6 to 10 cigarettes per day,9,0.4
Please think about the days you smoked cigarettes during the past 30 days. How many cigarettes did you usually smoke per day?,11 to 20 cigarettes per day,14,0.1
Please think about the days you smoked cigarettes during the past 30 days. How many cigarettes did you usually smoke per day?,More than 20 cigarettes per day,15,0.1
"Have you ever tried or experimented with any form of smoked tobacco products other than cigarettes (such as shisha, bidi, cigar, pipe)?",Yes,680,7.2
"Have you ever tried or experimented with any form of smoked tobacco products other than cigarettes (such as shisha, bidi, cigar, pipe)?",No,7530,92.8
"During the past 30 days, did you use any form of smoked tobacco products other than cigarettes (such as shisha, bidi, cigar, pipe)?",Yes,378,3.7
"During the past 30 days, did you use any form of smoked tobacco products other than cigarettes (such as shisha, bidi, cigar, pipe)?",No,7689,96.3
Do you ever smoke tobacco or feel like smoking tobacco first thing in the morning?,I don't smoke tobacco,6637,75.7
Do you ever smoke tobacco or feel like smoking tobacco first thing in the morning?,"No, I don't smoke tobacco or feel like smoking tobacco first thing in the morning",1802,21.8
Do you ever smoke tobacco or feel like smoking tobacco first thing in the morning?,"Yes, I sometimes smoke tobacco or feel like smoking tobacco first thing in the morning",153,1.9
Do you ever smoke tobacco or feel like smoking tobacco first thing in the morning?,"Yes, I always smoke tobacco or feel like smoking tobacco first thing in the morning",59,0.7
How soon after you smoke tobacco do you start to feel a strong desire to smoke again that is hard to ignore? Original Analysis Unweighted Unweighted,I don't smoke tobacco,7901,92.2
How soon after you smoke tobacco do you start to feel a strong desire to smoke again that is hard to ignore? Original Analysis Unweighted Unweighted,I never feel a strong desire to smoke again after smoking tobacco,521,4.7
How soon after you smoke tobacco do you start to feel a strong desire to smoke again that is hard to ignore? Original Analysis Unweighted Unweighted,Within 60 minutes,95,1.2
How soon after you smoke tobacco do you start to feel a strong desire to smoke again that is hard to ignore? Original Analysis Unweighted Unweighted,1 to 2 hours,52,0.8
How soon after you smoke tobacco do you start to feel a strong desire to smoke again that is hard to ignore? Original Analysis Unweighted Unweighted,More than 2 hours to 4 hours,22,0.2
How soon after you smoke tobacco do you start to feel a strong desire to smoke again that is hard to ignore? Original Analysis Unweighted Unweighted,More than 4 hours but less than one full day,27,0.4
How soon after you smoke tobacco do you start to feel a strong desire to smoke again that is hard to ignore? Original Analysis Unweighted Unweighted,1 to 3 days,26,0.4
