Indicator Description,Unweighted N,Weighted Percent
TOBACCO USE: Percentage of ever cigarette smokers who first tried a cigarette at the age of 10 or 11 years old,500,12.2
TOBACCO USE: Percentage of ever cigarette smokers who first tried a cigarette at less than 10 years old,500,25.3
TOBACCO USE: Percentage of ever cigarette smokers who first tried a cigarette at the age of 12 or 13 years old,500,28.8
TOBACCO USE: Percentage of ever cigarette smokers who first tried a cigarette at the age of 14 or 15 years old,500,25.6
TOBACCO USE: Percentage of ever cigarette smokers who first tried a cigarette at the age of 7 or younger years old,500,14.2
TOBACCO USE: Percentage of ever cigarette smokers who first tried a cigarette at the age of 8 or 9 years old,500,11.0
CESSATION: Percentage of current tobacco smokers who wanted to stop smoking,126,39.2
CESSATION: Percentage of current tobacco smokers who tried to stop smoking during the past 12 months,153,65.8
CESSATION: Percentage of current tobacco smokers who think they would be able to stop smoking,143,62.4
CESSATION: Percentage of current tobacco smokers who have received help/advice to stop smoking from a program or professional,203,19.8
SECONDHAND SMOKE: Percentage of youth who were exposed to tobacco smoke at home in the past 7 days,9595,13.3
SECONDHAND SMOKE: Percentage of youth who were exposed to tobacco smoke in enclosed public places in the past 7 days,9535,30.6
SECONDHAND SMOKE: Percentage of youth who were exposed to tobacco smoke at outdoor public places in the past 7 days,9614,25.2
SECONDHAND SMOKE: Percentage of youth who saw anyone smoking inside the school building or outside on school property in the past 30 days,9425,22.9
KNOWLEDGE AND ATTITUDES: Percentage of youth who definitely think other people''s tobacco smoking is harmful to them,9531,54.1
KNOWLEDGE AND ATTITUDES: Percentage of youth who are in favor of prohibiting smoking in enclosed public places,9368,75.3
KNOWLEDGE AND ATTITUDES: Percentage of youth who are in favor of prohibiting smoking at outdoor public places,9467,75.5
"Access and Availability: Percentage of current cigarette smokers who bought the cigarettes they last smoked from a store, shop, street vendor, or kiosk/khoka in the past 30 days",96,75.0
Access and Availability: Percentage of current cigarette smokers who bought the cigarettes they last smoked at a kiosk/khoka in the past 30 days,96,4.9
Access and Availability: Percentage of current cigarette smokers who got the cigarettes they last smoked from a friend in the past 30 days,96,20.2
Access and Availability: Percentage of current cigarette smokers who got the cigarettes they last smoked some other way in the past 30 days,96,2.5
Access and Availability: Percentage of current cigarette smokers who got the cigarettes they last smoked from someone else in the past 30 days,96,2.3
Access and Availability: Percentage of current cigarette smokers who bought the cigarettes they last smoked in a store or shop in the past 30 days,96,58.6
Access and Availability: Percentage of current cigarette smokers who bought the cigarettes they last smoked from a street vendor in the past 30 days,96,11.5
Access and Availability: Percentage of current cigarette smokers who were not prevented from buying cigarettes in the past 30 days because of their age,84,58.3
Access and Availability: Percentage of current cigarette smokers who last bought cigarettes as a carton,88,16.6
Access and Availability: Percentage of current cigarette smokers who last bought cigarettes as individual sticks (singles),88,40.3
Access and Availability: Percentage of current cigarette smokers who last bought cigarettes as a pack,88,43.1
Access and Availability: Percentage of youth who estimated the cost of a pack of 20 cigarettes is 30 - 60 PKR,2662,38.4
Access and Availability: Percentage of youth who estimated the cost of a pack of 20 cigarettes is 61 - 80 PKR,2662,23.6
Access and Availability: Percentage of youth who estimated the cost of a pack of 20 cigarettes is 81 - 100 PKR,2662,22.3
Access and Availability: Percentage of youth who estimated the cost of a pack of 20 cigarettes is 101 - 150 PKR,2662,5.4
Access and Availability: Percentage of youth who estimated the cost of a pack of 20 cigarettes is 151 - 200 PKR,2662,4.9
Access and Availability: Percentage of youth who estimated the cost of a pack of 20 cigarettes is more than 200 PKR,2662,5.5
MEDIA ANTI-TOBACCO: Percentage of youth who saw or heard anti-tobacco messages in the media in the past 30 days,9396,49.0
MEDIA ANTI-TOBACCO: Percentage of youth who saw or heard any anti-tobacco media messages at sporting or other community events in the past 30 days,9439,16.2
MEDIA ANTI-TOBACCO: Percentage of youth who attended sporting or other community events in the past 30 days who saw or heard any anti-tobacco messages at the events,4979,29.3
MEDIA ANTI-TOBACCO: Percentage of current tobacco smokers who noticed health warnings on cigarette packages in the past 30 days,478,59.2
MEDIA ANTI-TOBACCO: Percentage of current tobacco smokers who thought about quitting smoking in the past 30 days because of health warnings on cigarette packages,478,15.7
"MEDIA ANTI-TOBACCO: Percentage of current tobacco smokers who noticed health warnings on cigarette packages in the past 30 days, who thought about quitting smoking because of the health warnings",302,26.5
MEDIA ANTI-TOBACCO: Percentage of never tobacco smokers who thought about not starting smoking in the past 30 days because of health warnings on cigarette packages,3458,10.4
MEDIA ANTI-TOBACCO: Percentage of youth who were taught about the dangers of tobacco use in class during the past 12 months,9424,45.3
"MEDIA PRO-TOBACCO: Percentage of youth who saw someone using tobacco on television, videos, or movies in the past 30 days",9444,48.8
"MEDIA PRO-TOBACCO: Percentage of youth who watched television, videos, or movies in the past 30 days who saw someone using tobacco on television, videos, or movies",6978,62.9
MEDIA PRO-TOBACCO: Percentage of youth who saw tobacco marketing at points of sale in the past 30 days,9465,18.6
MEDIA PRO-TOBACCO: Percentage of youth who visited points of sale in the past 30 days who saw any tobacco marketing at the points of sale,6661,25.6
MEDIA PRO-TOBACCO: Percentage of never tobacco users who had something with a tobacco product brand logo or who might use or wear something that has a tobacco company or product name or picture on it,7668,19.4
MEDIA PRO-TOBACCO: Percentage of youth who had something with a tobacco product brand logo on it,9297,6.2
MEDIA PRO-TOBACCO: Percentage of youth who were ever offered a free tobacco product from a tobacco company representative,9225,5.4
TOBACCO USE: Percentage of never tobacco users who were susceptible to using tobacco in the future,7629,13.3
KNOWLEDGE AND ATTITUDES: Percentage of youth who definitely think that once someone starts smoking tobacco it is difficult to quit (CAUTION! - issues with the numbering of answer options for Q61 in the Urdu questionnaire),9385,6.2
"KNOWLEDGE AND ATTITUDES: Percentage of youth who think that smoking tobacco helps people feel more comfortable at celebrations, parties, and social gatherings",9042,27.3
TOBACCO USE: Percentage of never tobacco smokers who thought they might enjoy smoking a cigarette,7928,11.2
TOBACCO USE: Percentage of youth who currently use smokeless tobacco products,9206,5.0
TOBACCO USE: Percentage of youth who currently smoke any tobacco products,9699,4.3
TOBACCO USE: Percentage of youth who currently smoke cigarettes,9247,1.5
Percentage of youth who currently use electronic cigarettes,9584,4.1
TOBACCO USE: Percentage of youth who currently smoke tobacco products other than cigarettes,9236,3.5
TOBACCO USE: Percentage of youth who currently use any tobacco products,9759,7.6
Percentage of youth who both currently smoke any tobacco products and use smokeless tobacco products,9704,1.5
TOBACCO USE: Percentage of youth who ever used any smokeless tobacco products,9245,10.4
TOBACCO USE: Percentage of youth who ever smoked any tobacco products,9673,12.9
TOBACCO USE: Percentage of youth who ever smoked cigarettes,9165,8.0
TOBACCO USE: Percentage of youth who ever smoked tobacco products other than cigarettes,9205,7.9
TOBACCO USE: Percentage of youth who have ever used any tobacco products,9750,18.7
TOBACCO USE: Percentage of youth who smoked cigarettes on 20 or more days of the past 30 days,9247,0.3
"TOBACCO USE: Percentage of current cigarette smokers who smoked less than 1 cigarette per day, on the days that they smoked",148,39.9
"TOBACCO USE: Percentage of current cigarette smokers who smoked 1 cigarettes per day, on the days that they smoked",148,23.2
"TOBACCO USE: Percentage of current cigarette smokers who smoked 11 to 20 cigarettes per day, on the days that they smoked",148,3.7
"TOBACCO USE: Percentage of current cigarette smokers who smoked 2 to 5 cigarettes per day, on the days that they smoked",148,22.7
"TOBACCO USE: Percentage of current cigarette smokers who smoked more than 20 cigarettes per day, on the days that they smoked",148,4.0
"TOBACCO USE: Percentage of current cigarette smokers who smoked 6 to 10 cigarettes per day, on the days that they smoked",148,6.5
"TOBACCO USE: Percentage of current cigarette smokers who smoked 6 or more cigarettes per day, on the days that they smoked",148,14.3
Percentage of youth who have one or more parents who smoke,9465,17.4
Percentage of youth who think that young people who smoke have more friends,9023,19.3
